Fold,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
Fold1,14,2,18,34,11,16,8,31,19,29,13,15,15,14,14,24,20,27,2,6
Fold1,23,3,9,6,31,39,1,38,11,51,16,6,14,10,14,27,18,31,7,11
Fold1,15,1,11,11,9,10,6,17,9,20,6,8,9,8,18,12,10,8,3,6
Fold1,31,0,27,24,13,23,14,21,49,31,9,24,14,17,15,16,25,40,4,14
Fold1,41,0,11,12,36,43,6,54,17,64,18,20,21,14,18,33,29,34,10,16
Fold1,31,0,37,12,14,26,8,49,91,47,1,53,11,18,14,53,45,41,1,32
Fold1,45,4,59,57,25,60,12,62,61,63,18,40,32,35,39,38,39,44,0,19
Fold1,31,0,19,32,16,23,2,33,42,49,5,32,16,47,6,48,35,21,0,17
Fold1,44,3,7,10,31,45,15,42,8,86,15,6,14,16,22,46,25,41,17,12
Fold1,54,1,35,73,25,23,4,34,58,46,12,42,57,16,27,61,44,23,2,2
Fold1,9,2,4,5,15,6,9,31,16,29,3,8,7,7,7,8,9,11,0,8
Fold1,37,2,29,24,41,34,11,65,56,70,9,16,21,22,21,34,29,43,9,30
Fold1,40,0,33,45,23,45,5,34,49,46,10,17,20,22,46,22,28,30,0,9
Fold1,54,3,12,11,29,49,7,38,6,58,13,9,16,16,21,46,25,59,12,17
Fold1,80,3,51,49,27,80,15,36,36,60,17,19,68,34,49,39,42,53,8,21
Fold1,31,1,18,18,3,21,4,22,34,20,12,11,9,9,3,22,19,16,8,12
Fold1,85,3,21,22,27,71,4,23,9,83,15,4,30,17,33,28,33,57,9,4
Fold1,34,2,10,5,26,22,4,27,18,30,20,7,14,2,11,20,24,22,7,15
Fold1,167,0,172,129,65,199,34,93,232,127,20,172,72,72,52,189,217,134,36,152
Fold1,18,0,4,10,24,17,2,29,16,43,10,10,14,11,6,23,21,23,5,11
Fold1,54,0,17,10,31,45,7,53,22,64,21,6,15,4,16,38,27,35,9,18
Fold1,45,1,28,87,13,20,15,43,51,66,9,19,8,28,26,34,17,28,4,20
Fold1,39,0,41,26,14,13,1,10,13,15,10,35,40,41,18,18,25,17,2,45
Fold1,7,2,15,16,8,6,6,11,11,21,5,3,1,17,17,11,14,13,3,7
Fold1,10,1,6,11,5,8,8,5,10,9,3,4,8,5,6,5,8,8,1,7
Fold1,13,2,14,12,4,12,3,12,11,6,4,2,6,4,7,9,11,8,2,5
Fold1,27,4,37,64,45,31,11,50,78,68,21,40,33,20,41,47,40,37,7,45
Fold1,23,1,22,45,37,30,13,67,58,73,19,26,14,27,15,50,25,32,7,30
Fold1,4,1,2,12,4,11,2,9,11,8,2,5,4,4,5,7,9,13,0,3
Fold1,23,5,21,21,29,20,5,45,31,37,9,18,12,11,13,31,21,25,11,24
Fold1,29,4,18,39,16,23,11,44,44,55,11,28,10,14,15,22,31,21,2,22
Fold1,12,2,6,6,14,20,8,19,11,30,8,1,9,3,12,16,12,17,6,11
Fold1,41,4,15,20,66,56,14,59,24,59,38,26,27,9,17,41,41,42,22,28
Fold1,67,3,26,20,20,35,7,18,10,39,9,7,23,11,31,19,27,55,7,9
Fold1,41,5,12,13,41,39,5,43,18,42,15,19,21,8,17,24,18,30,13,20
Fold1,47,1,21,22,29,51,17,49,11,62,21,22,28,13,27,20,24,43,11,20
Fold1,38,2,8,10,40,35,8,47,20,45,16,11,11,7,10,33,21,28,2,8
Fold1,63,2,26,39,48,71,11,62,32,72,22,26,38,27,21,33,31,58,4,13
Fold1,59,0,40,46,29,58,6,44,51,53,23,40,30,38,27,56,66,52,6,26
Fold1,33,0,7,5,17,31,4,19,11,33,11,14,12,10,4,19,16,25,9,9
Fold1,34,9,17,26,11,27,6,28,24,25,7,15,13,9,14,25,9,29,3,12
Fold1,44,5,32,42,16,47,9,35,28,46,13,25,20,18,17,37,25,47,2,11
Fold1,25,1,8,4,25,19,2,24,13,41,12,16,8,8,8,15,16,17,5,13
Fold1,30,2,14,5,5,20,3,11,12,19,3,12,17,13,8,16,21,20,3,2
Fold1,30,3,20,13,3,23,2,3,11,7,1,5,18,3,14,16,15,27,1,10
Fold1,24,6,19,18,23,17,7,40,23,55,6,23,14,13,20,28,25,32,4,22
Fold1,46,4,10,7,37,46,6,63,21,61,10,17,24,12,10,45,26,35,17,23
Fold1,36,3,23,30,15,33,3,15,51,47,18,21,14,10,19,19,31,35,8,21
Fold1,10,4,15,12,13,12,2,13,20,17,3,10,10,9,1,13,9,12,2,6
Fold1,18,1,6,7,31,29,7,44,13,41,11,11,10,9,3,20,20,30,5,5
Fold1,41,5,10,10,24,32,5,42,14,49,12,9,18,14,24,35,12,23,7,8
Fold1,26,5,18,26,17,19,4,16,37,38,8,16,16,6,12,21,22,31,7,11
Fold1,42,1,6,18,44,43,15,52,24,63,11,17,21,15,8,27,27,46,8,15
Fold1,24,0,10,12,3,20,3,7,25,26,2,20,11,17,9,26,22,20,4,13
Fold1,29,0,13,17,29,36,5,64,22,65,10,29,25,19,22,38,26,32,2,15
Fold1,26,0,23,25,35,32,20,39,33,56,12,20,14,16,27,39,22,35,7,22
Fold1,19,1,3,4,9,9,0,10,2,11,4,2,6,2,6,9,6,14,3,8
Fold1,31,3,11,6,7,33,11,8,7,17,3,7,19,5,4,21,28,15,1,3
Fold1,53,2,25,57,39,37,12,56,48,81,19,23,23,31,19,35,29,39,10,26
Fold1,47,5,31,28,63,43,17,91,48,113,20,36,20,13,33,63,41,61,14,54
Fold1,30,1,22,30,15,11,6,31,36,24,7,10,20,24,9,33,26,20,3,10
Fold1,11,1,6,3,7,13,2,21,7,18,7,6,2,9,5,5,6,13,3,9
Fold1,29,4,38,44,63,35,18,77,52,105,21,33,19,30,32,54,33,46,4,32
Fold1,10,1,9,9,7,4,4,10,9,7,4,4,6,5,3,13,10,9,3,5
Fold1,16,2,6,9,0,16,1,6,5,4,1,4,2,3,0,5,6,4,1,1
Fold1,56,1,22,18,15,16,3,15,31,19,9,11,15,10,5,15,26,22,6,12
Fold1,33,0,26,37,13,33,6,23,48,46,26,14,15,25,20,19,22,37,0,3
Fold1,13,2,7,4,24,7,4,14,7,28,10,5,5,3,5,7,6,15,0,6
Fold1,50,16,58,87,58,36,27,72,68,109,27,61,34,42,58,77,52,39,9,50
Fold1,41,3,14,1,3,16,3,10,7,19,7,11,17,10,3,15,21,15,0,4
Fold1,28,5,12,22,24,20,12,45,26,59,13,16,17,15,6,39,23,28,3,16
Fold1,14,4,27,16,35,21,5,49,36,47,10,23,9,13,22,34,27,27,4,26
Fold1,4,1,0,3,8,8,2,20,4,12,2,3,3,2,0,12,9,9,1,4
Fold1,26,2,21,24,10,19,3,27,41,23,6,14,12,5,3,26,14,17,4,13
